BO round,temperature_deg_c,time_h,scale_mol,stirring_shaking,startingmat_1_name,startingmat_1_cas,startingmat_1_smiles,startingmat_1_eq,reagent_1_name,reagent_1_cas,reagent_1_eq,catalyst_name,catalyst_cas,catalyst_eq,solvent_1_name,solvent_1_cas,solvent_1_fraction,product_1_name,product_1_smiles,conversion (%),de (syn) (%),ee (syn) (%),dr (anti/syn),ee (anti) (%)
1,30,20,0.0000951,sh_300,"1,2-diphenylpropan-1-one",2042-85-5,CC(C(=O)c1ccccc1)c1ccccc1,1,K2CO3,584-08-7,0.2,[Ru(OAc)2((S)-DTB-MeOBIPHEP)],167781-45-5,0.01,EtOH,64-17-5,1,"(1S, 2R)-1,2-diphenylpropan-1-ol",C[C@H](c1ccccc1)[C@H](O)c1ccccc1,99.5,-57.2,-2.4,3.7,-0.3
1,30,20,0.0000951,sh_300,"1,2-diphenylpropan-1-one",2042-85-5,CC(C(=O)c1ccccc1)c1ccccc1,1,K2CO3,584-08-7,0.5,[IrClH2((R)-DTB-SpiroPAP-3-Me)],1396201-63-0,0.01,EtOH,64-17-5,1,"(1S, 2R)-1,2-diphenylpropan-1-ol",C[C@H](c1ccccc1)[C@H](O)c1ccccc1,99.6,13.2,-65,0.8,78.7
1,30,20,0.0000951,sh_300,"1,2-diphenylpropan-1-one",2042-85-5,CC(C(=O)c1ccccc1)c1ccccc1,1,KOtBu,865-47-4,0.5,"[RuCl2((R)-BINAP)((S,S)-DPEN)]",212210-87-2,0.01,EtOH,64-17-5,1,"(1S, 2R)-1,2-diphenylpropan-1-ol",C[C@H](c1ccccc1)[C@H](O)c1ccccc1,98.5,-87,66.4,14.4,-17.1
1,30,20,0.0000951,sh_300,"1,2-diphenylpropan-1-one",2042-85-5,CC(C(=O)c1ccccc1)c1ccccc1,1,NaOH,1310-73-2,0.2,[RuCl((R)-DM-BINAP)((R)-DAIPENA)],1384974-38-2,0.01,EtOH,64-17-5,1,"(1S, 2R)-1,2-diphenylpropan-1-ol",C[C@H](c1ccccc1)[C@H](O)c1ccccc1,99.6,-99.4,-60.3,346.1,97.1
1,30,20,0.0000951,sh_300,"1,2-diphenylpropan-1-one",2042-85-5,CC(C(=O)c1ccccc1)c1ccccc1,1,NEt3,121-44-8,0.2,[IrClH2((S)-DTB-SpiroPAP-3-Me)],1418483-59-6,0.01,EtOH,64-17-5,1,"(1S, 2R)-1,2-diphenylpropan-1-ol",C[C@H](c1ccccc1)[C@H](O)c1ccccc1,41.7,41.8,84.7,0.4,-62.9
1,30,20,0.0000951,sh_300,"1,2-diphenylpropan-1-one",2042-85-5,CC(C(=O)c1ccccc1)c1ccccc1,1,DBU,6674-22-2,0.5,"[Ir(COD)((S,S)-Ph-UBAPHOX)]BARF",405235-55-4,0.01,iPrOH,67-63-0,1,"(1S, 2R)-1,2-diphenylpropan-1-ol",C[C@H](c1ccccc1)[C@H](O)c1ccccc1,39.5,-71.8,-2.1,6.1,4.7
1,30,20,0.0000951,sh_300,"1,2-diphenylpropan-1-one",2042-85-5,CC(C(=O)c1ccccc1)c1ccccc1,1,DBU,6674-22-2,0.5,[RuCl(p-cymene)((S)-DM-BINAP)]Cl,944451-25-6,0.01,iPrOH,67-63-0,1,"(1S, 2R)-1,2-diphenylpropan-1-ol",C[C@H](c1ccccc1)[C@H](O)c1ccccc1,43.2,-78.7,75.7,8.4,-78.2
1,30,20,0.0000951,sh_300,"1,2-diphenylpropan-1-one",2042-85-5,CC(C(=O)c1ccccc1)c1ccccc1,1,DBU,6674-22-2,0.5,"[RuCl2((S)-BINAP)((S,S)-DPEN)]",329736-05-2,0.01,iPrOH,67-63-0,1,"(1S, 2R)-1,2-diphenylpropan-1-ol",C[C@H](c1ccccc1)[C@H](O)c1ccccc1,9.1,-69.6,3,5.6,-64.5
1,30,20,0.0000951,sh_300,"1,2-diphenylpropan-1-one",2042-85-5,CC(C(=O)c1ccccc1)c1ccccc1,1,K2CO3,584-08-7,0.2,[RuCl((S)-DM-BINAP)((S)-DAIPENA)],1312713-89-5,0.01,iPrOH,67-63-0,1,"(1S, 2R)-1,2-diphenylpropan-1-ol",C[C@H](c1ccccc1)[C@H](O)c1ccccc1,95.6,-79.8,89.6,8.9,-20.6
1,30,20,0.0000951,sh_300,"1,2-diphenylpropan-1-one",2042-85-5,CC(C(=O)c1ccccc1)c1ccccc1,1,K2CO3,584-08-7,0.2,"[RuCl2((S)-DM-BINAP)((S,S)-DPEN)]",220114-03-4,0.01,iPrOH,67-63-0,1,"(1S, 2R)-1,2-diphenylpropan-1-ol",C[C@H](c1ccccc1)[C@H](O)c1ccccc1,24.2,-89.9,23.4,18.8,-85.1
