BO round,temperature_deg_c,time_h,scale_mol,stirring_shaking,startingmat_1_name,startingmat_1_cas,startingmat_1_smiles,startingmat_1_eq,reagent_1_name,reagent_1_cas,reagent_1_eq,catalyst_name,catalyst_cas,catalyst_eq,solvent_1_name,solvent_1_cas,solvent_1_fraction,solvent_2_name,solvent_2_fraction,additive_1_name,additive_1_cas,additive_1_eq,product_1_name,product_1_cas,product_1_smiles,conversion (%),selectivity(%)
1,75,20,1.29E-04,st_400,methyl 3-bromo-5-fluorobenzoate,334792-52-8,COC(=O)C1=CC(F)=CC(Br)=C1,1,K4[Fe(CN)6].3H2O,14459-95-1,0.50,[Pd(allyl)Cl((R)-BINAP)],879689-47-1,0.01,CPME,5614-37-9,1.00,,,K2CO3,584-08-7,1.0,methyl 3-cyano-5-fluorobenzoate,886732-29-2,COC(=O)C1=CC(=CC(=C1)C#N)F,5,0
1,75,20,1.29E-04,st_400,methyl 3-bromo-5-fluorobenzoate,334792-52-8,COC(=O)C1=CC(F)=CC(Br)=C1,1,NaCN,143-33-9,1.50,N-Xantphos Pd G3,1602922-03-1,0.01,CPME,5614-37-9,1.00,,,K2CO3,584-08-7,1.0,methyl 3-cyano-5-fluorobenzoate,886732-29-2,COC(=O)C1=CC(=CC(=C1)C#N)F,18,100
1,75,20,1.29E-04,st_400,methyl 3-bromo-5-fluorobenzoate,334792-52-8,COC(=O)C1=CC(F)=CC(Br)=C1,1,NaCN,143-33-9,1.50,Xantphos Pd G3,1445085-97-1,0.01,CPME,5614-37-9,1.00,,,KOAc,127-08-2,1.5,methyl 3-cyano-5-fluorobenzoate,886732-29-2,COC(=O)C1=CC(=CC(=C1)C#N)F,42,100
1,75,20,1.29E-04,st_400,methyl 3-bromo-5-fluorobenzoate,334792-52-8,COC(=O)C1=CC(F)=CC(Br)=C1,1,Zn(CN)2,557-21-1,0.75,N-Xantphos Pd G3,1602922-03-1,0.01,CPME,5614-37-9,1.00,,,NEt3,121-44-8,1.5,methyl 3-cyano-5-fluorobenzoate,886732-29-2,COC(=O)C1=CC(=CC(=C1)C#N)F,27,79
1,75,20,1.29E-04,st_400,methyl 3-bromo-5-fluorobenzoate,334792-52-8,COC(=O)C1=CC(F)=CC(Br)=C1,1,NaCN,143-33-9,1.50,[PdCl2(XantPhos)],205319-10-4,0.01,CPME,5614-37-9,1.00,,,none,,,methyl 3-cyano-5-fluorobenzoate,886732-29-2,COC(=O)C1=CC(=CC(=C1)C#N)F,0,0
1,75,20,1.29E-04,st_400,methyl 3-bromo-5-fluorobenzoate,334792-52-8,COC(=O)C1=CC(F)=CC(Br)=C1,1,K4[Fe(CN)6].3H2O,14459-95-1,0.50,[PdCl2(XantPhos)],205319-10-4,0.01,CPME,5614-37-9,1.00,,,Zn,7440-66-6,0.5,methyl 3-cyano-5-fluorobenzoate,886732-29-2,COC(=O)C1=CC(=CC(=C1)C#N)F,11,0
1,75,20,1.29E-04,st_400,methyl 3-bromo-5-fluorobenzoate,334792-52-8,COC(=O)C1=CC(F)=CC(Br)=C1,1,K4[Fe(CN)6].3H2O,14459-95-1,0.50,GPhos Pd G3,2489525-82-6,0.01,CPME,5614-37-9,1.00,,,Zn,7440-66-6,0.5,methyl 3-cyano-5-fluorobenzoate,886732-29-2,COC(=O)C1=CC(=CC(=C1)C#N)F,6,0
1,75,20,1.29E-04,st_400,methyl 3-bromo-5-fluorobenzoate,334792-52-8,COC(=O)C1=CC(F)=CC(Br)=C1,1,K4[Fe(CN)6].3H2O,14459-95-1,0.50,Me4tBuXPhos Pd G3,1507403-85-1,0.01,CPME,5614-37-9,1.00,,,Zn,7440-66-6,0.5,methyl 3-cyano-5-fluorobenzoate,886732-29-2,COC(=O)C1=CC(=CC(=C1)C#N)F,62,0
1,75,20,1.29E-04,st_400,methyl 3-bromo-5-fluorobenzoate,334792-52-8,COC(=O)C1=CC(F)=CC(Br)=C1,1,NaCN,143-33-9,1.50,tBuXPhos Pd G4,1599466-89-3,0.01,CPME,5614-37-9,1.00,,,Zn,7440-66-6,0.5,methyl 3-cyano-5-fluorobenzoate,886732-29-2,COC(=O)C1=CC(=CC(=C1)C#N)F,100,36
1,75,20,1.29E-04,st_400,methyl 3-bromo-5-fluorobenzoate,334792-52-8,COC(=O)C1=CC(F)=CC(Br)=C1,1,NaCN,143-33-9,1.50,Pd PEPPSI IPent,1158652-41-5,0.01,CPME,5614-37-9,0.67,water,0.33,K2CO3,584-08-7,1.0,methyl 3-cyano-5-fluorobenzoate,886732-29-2,COC(=O)C1=CC(=CC(=C1)C#N)F,17,0
1,75,20,1.29E-04,st_400,methyl 3-bromo-5-fluorobenzoate,334792-52-8,COC(=O)C1=CC(F)=CC(Br)=C1,1,Zn(CN)2,557-21-1,0.75,XPhos Pd G3,1445085-55-1,0.01,CPME,5614-37-9,0.67,water,0.33,K2CO3,584-08-7,1.0,methyl 3-cyano-5-fluorobenzoate,886732-29-2,COC(=O)C1=CC(=CC(=C1)C#N)F,21,27
1,75,20,1.29E-04,st_400,methyl 3-bromo-5-fluorobenzoate,334792-52-8,COC(=O)C1=CC(F)=CC(Br)=C1,1,K4[Fe(CN)6].3H2O,14459-95-1,0.50,[Pd(Cl)2(DPEPhos)],205319-06-8,0.01,CPME,5614-37-9,0.67,water,0.33,KOAc,127-08-2,1.5,methyl 3-cyano-5-fluorobenzoate,886732-29-2,COC(=O)C1=CC(=CC(=C1)C#N)F,41,100
1,75,20,1.29E-04,st_400,methyl 3-bromo-5-fluorobenzoate,334792-52-8,COC(=O)C1=CC(F)=CC(Br)=C1,1,Zn(CN)2,557-21-1,0.75,[Pd(allyl)(tBuBrettPhos)]OTf,1798782-15-6,0.01,CPME,5614-37-9,0.67,water,0.33,KOAc,127-08-2,1.5,methyl 3-cyano-5-fluorobenzoate,886732-29-2,COC(=O)C1=CC(=CC(=C1)C#N)F,100,94
1,75,20,1.29E-04,st_400,methyl 3-bromo-5-fluorobenzoate,334792-52-8,COC(=O)C1=CC(F)=CC(Br)=C1,1,NaCN,143-33-9,1.50,[Pd(Cl)2(DPEPhos)],205319-06-8,0.01,CPME,5614-37-9,0.67,water,0.33,NEt3,121-44-8,1.5,methyl 3-cyano-5-fluorobenzoate,886732-29-2,COC(=O)C1=CC(=CC(=C1)C#N)F,92,0
